RCS,DATE,EFFECTIFS,NATURE
401685458,2021-06-22,12,jugement de conversion en liquidation judiciaire
528091242,2021-06-17,12,jugement de clôture pour insuffisance d'actif
821203593,2021-06-17,12,jugement d'ouverture de liquidation judiciaire
529472201,2021-06-18,12,jugement de conversion en liquidation judiciaire
799362447,2021-06-18,12,jugement de conversion en liquidation judiciaire
514775485,2021-06-18,12,jugement de conversion en liquidation judiciaire
484585195,2021-06-18,12,jugement de conversion en liquidation judiciaire
632010856,2021-06-11,12,jugement de conversion en liquidation judiciaire
449219120,2021-06-18,12,jugement de conversion en liquidation judiciaire
328686001,2021-06-22,12,jugement de conversion en liquidation judiciaire
414777854,2021-06-21,12,jugement d'ouverture de liquidation judiciaire
807804802,2021-06-21,12,jugement d'ouverture de liquidation judiciaire
811139690,2021-06-22,12,jugement de conversion en liquidation judiciaire
825236383,2021-06-24,12,jugement d'ouverture de liquidation judiciaire
820371797,2021-07-02,12,jugement de clôture pour insuffisance d'actif
490619319,2021-07-02,12,jugement de clôture pour insuffisance d'actif
522287515,2021-07-02,12,jugement de clôture pour insuffisance d'actif
835002908,2021-06-30,12,jugement d'ouverture de liquidation judiciaire
452187230,2021-06-25,12,jugement de clôture pour insuffisance d'actif
800226052,2021-06-28,12,jugement d'ouverture de liquidation judiciaire
799139928,2021-06-22,12,jugement d'extension de liquidation judiciaire
835093774,2021-07-02,12,jugement de clôture pour insuffisance d'actif
841341746,2021-06-30,12,jugement de clôture pour insuffisance d'actif
837640598,2021-06-30,12,jugement de clôture pour insuffisance d'actif
521724310,2021-06-24,12,jugement de clôture pour insuffisance d'actif
521968453,2021-07-01,12,jugement de conversion en liquidation judiciaire
435301148,2021-07-07,12,jugement de conversion en liquidation judiciaire
382939510,2021-06-25,12,jugement de conversion en liquidation judiciaire
831195086,2021-07-09,12,jugement de conversion en liquidation judiciaire
500883111,2021-07-09,12,jugement de conversion en liquidation judiciaire
306020082,2021-07-07,12,jugement d'ouverture de liquidation judiciaire
479763922,2021-07-13,12,jugement d'ouverture de liquidation judiciaire
793668575,2021-07-13,12,jugement d'ouverture de liquidation judiciaire
447796061,2021-07-07,12,jugement de conversion en liquidation judiciaire
477716310,2021-07-07,12,jugement d'ouverture de liquidation judiciaire
343666210,2021-07-12,12,jugement de conversion en liquidation judiciaire
793729138,2021-06-07,12,jugement de clôture pour insuffisance d'actif
823716683,2021-07-12,12,jugement de conversion en liquidation judiciaire
752025494,2021-07-19,12,jugement de conversion en liquidation judiciaire
531339042,2021-07-08,12,jugement d'ouverture de liquidation judiciaire
797867892,2021-07-15,12,jugement de conversion en liquidation judiciaire
531661866,2021-07-06,12,jugement d'ouverture de liquidation judiciaire
452710593,2021-07-16,12,jugement de conversion en liquidation judiciaire
353278351,2021-07-21,12,jugement de conversion en liquidation judiciaire
437559750,2021-07-13,12,jugement d'ouverture de liquidation judiciaire
330367707,2021-07-19,12,jugement de conversion en liquidation judiciaire
331518407,2021-07-07,12,jugement de conversion en liquidation judiciaire
307177469,2021-07-08,12,jugement de conversion en liquidation judiciaire
339543530,2021-07-13,12,jugement de conversion en liquidation judiciaire
