RCS,DATE,EFFECTIFS,NATURE
790183719,2021-04-12,12,jugement de conversion en liquidation judiciaire
494075682,2021-06-07,12,jugement de conversion en liquidation judiciaire
444918197,2021-06-14,12,jugement de conversion en liquidation judiciaire
482554458,2021-05-04,12,jugement de clôture pour insuffisance d'actif
443575717,2021-06-09,12,jugement de conversion en liquidation judiciaire
814022810,2021-06-10,12,jugement de conversion en liquidation judiciaire
323253351,2021-06-10,12,jugement de conversion en liquidation judiciaire
753309806,2021-06-10,12,jugement de conversion en liquidation judiciaire de la procédure de sauvegarde
530615087,2021-06-10,12,jugement de conversion en liquidation judiciaire de la procédure de sauvegarde
820540136,2021-06-02,12,jugement d'ouverture de liquidation judiciaire
790322614,2021-06-11,12,jugement d'ouverture de liquidation judiciaire
489206383,2021-05-27,12,jugement de clôture pour insuffisance d'actif
403714975,2021-06-11,12,jugement de clôture pour insuffisance d'actif
332680107,2021-06-04,12,jugement de conversion en liquidation judiciaire
495123143,2021-06-14,12,jugement d'ouverture de liquidation judiciaire
833223456,2021-05-10,12,jugement d'ouverture de liquidation judiciaire
325185858,2021-06-15,12,jugement de conversion en liquidation judiciaire
833600422,2021-06-08,12,jugement de conversion en liquidation judiciaire
810984237,2021-06-22,12,jugement de conversion en liquidation judiciaire
502200470,2021-06-23,12,jugement de clôture pour insuffisance d'actif
813653771,2021-06-23,12,jugement de conversion en liquidation judiciaire
833656218,2021-06-23,12,jugement d'ouverture de liquidation judiciaire
839372117,2021-06-23,12,jugement d'ouverture de liquidation judiciaire
825207202,2021-06-23,12,jugement d'ouverture de liquidation judiciaire
